,edition,folder,filename,width,height,quality,untruth-count,item,class,xmin,ymin,xmax,ymax,score,aspect,quality,box-score,class-error,class-error-score
0,_,scaled,scaled_g_480x270@320x180_00-11-48_421-acd008-pi_1-(1).jpg,320,180,,,1,mouse,137,42,210,111,0,,,,,
1,_,scaled,scaled_g_480x270@320x180_00-15-44_543-acd008-pi_1-(1).jpg,320,180,,,1,mouse,113,32,234,122,0,,,,,
2,_,scaled,scaled_g_480x270@320x180_04-37-29_646-acd007-pi_1-(1).jpg,320,180,,,1,robin,149,42,197,112,0,,,,,
3,_,scaled,scaled_g_480x270@320x180_05-32-45_821-acd007-pi_1-(1).jpg,320,180,,,1,robin,116,39,231,115,0,,,,,
4,_,scaled,scaled_g_480x270@320x180_05-50-23_685-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,144,23,203,131,0,,,,,
5,_,scaled,scaled_g_480x270@320x180_05-51-17_058-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,109,42,239,130,0,,,,,
6,_,scaled,scaled_g_480x270@320x180_06-06-29_066-acd008-pi_1-(1).jpg,320,180,,,1,robin,145,21,202,132,0,,,,,
7,_,scaled,scaled_g_480x270@320x180_06-07-25_034-acd007-pi_1-(1).jpg,320,180,,,1,starling,133,27,213,126,0,,,,,
8,_,scaled,scaled_g_480x270@320x180_06-24-43_211-acd008-pi_1-(1).jpg,320,180,,,1,mouse,147,28,200,125,0,,,,,
9,_,scaled,scaled_g_480x270@320x180_06-26-13_868-acd008-pi_1-(1).jpg,320,180,,,1,mouse,148,27,199,127,0,,,,,
10,_,scaled,scaled_g_480x270@320x180_06-52-13_530-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,131,21,216,133,0,,,,,
11,_,scaled,scaled_g_480x270@320x180_08-05-55_814-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,139,23,208,131,0,,,,,
12,_,scaled,scaled_g_480x270@320x180_08-58-58-acd004-pi_1-(1).jpg,320,180,,,1,long tailed tit,121,41,225,113,0,,,,,
13,_,scaled,scaled_g_480x270@320x180_09-19-41_665-acd010-pi_1-(1).jpg,320,180,,,1,blue tit,140,45,207,109,0,,,,,
14,_,scaled,scaled_g_480x270@320x180_10-01-51_487-acd010-pi_1-(1).jpg,320,180,,,1,blue tit,144,39,203,115,0,,,,,
15,_,scaled,scaled_g_480x270@320x180_10-01-51_487-acd010-pi_2-(1).jpg,320,180,,,1,robin,127,25,221,128,0,,,,,
16,_,scaled,scaled_g_480x270@320x180_12-52-04-acd004-pi_1-(1).jpg,320,180,,,1,dunnock,129,21,218,133,0,,,,,
17,_,scaled,scaled_g_480x270@320x180_13-18-31-acd004-pi_1-(1).jpg,320,180,,,1,long tailed tit,96,47,251,107,0,,,,,
18,_,scaled,scaled_g_480x270@320x180_14-08-46_429-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,149,40,197,114,0,,,,,
19,_,scaled,scaled_g_480x270@320x180_15-39-05_472-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,98,23,201,131,0,,,,,
20,_,scaled,scaled_m_960x540@320x180_00-11-48_421-acd008-pi_1-(1).jpg,320,180,,,1,mouse,186,66,222,101,0,,,,,
21,_,scaled,scaled_m_960x540@320x180_00-15-44_543-acd008-pi_1-(1).jpg,320,180,,,1,mouse,136,61,197,106,0,,,,,
22,_,scaled,scaled_m_960x540@320x180_00-17-56_817-acd008-pi_1-(1).jpg,320,180,,,1,mouse,144,45,190,122,0,,,,,
23,_,scaled,scaled_m_960x540@320x180_04-37-29_646-acd007-pi_1-(1).jpg,320,180,,,1,robin,155,66,179,101,0,,,,,
24,_,scaled,scaled_m_960x540@320x180_04-49-14_347-acd007-pi_1-(1).jpg,320,180,,,1,collared dove,119,32,214,135,0,,,,,
